column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,croatia,israel,column_y,aggregate
1975:Q1,14.1840880269318,22.5348733824157,19.6870182967911,38.5148095218127,31.2376735090963,19.270352608039,6.98135176178499,13.1735116342345,17.1102157145946,9.17113178657696,7.73726728755759,6.34689178188217,36.652173991045,2.26914285340065,11.8760689460946,30.7098822626156,11.1091561460617,10.7025933922072,14.2967751289161,18.3914723658481,3.48248464571116,0.00000793549855396133,0.00272823024598019,,19.249405550931954
1975:Q2,14.4264183424684,23.822801631236,20.3520896791431,38.48004042712,32.0000573594378,20.1087849775334,7.19844114531633,13.5428533445681,17.5935890047645,9.34944919085198,7.9616832820812,6.70694896104918,37.6483005864867,2.47464919081142,12.0293845742805,31.9413302442712,11.6679907750258,11.0593047850203,14.7799972099264,19.3852710124426,3.74054543335642,0.00000818836153992279,0.00301075314097596,,19.992988585766184
1975:Q3,14.808080925385,24.982661331749,21.2220028414448,38.4834770077418,32.600062054564,20.9223649471827,7.45731881416002,13.9027090878542,18.2568441587089,9.82211548103116,8.21611520185577,7.07548114718769,38.8162286472414,2.67718988191303,12.4755863939457,33.0842193010732,12.2112226567265,11.4114220823451,15.262942994438,19.3490077829227,3.78192908916781,0.00000846181707653492,0.00325860504372334,,20.359771090713668
1975:Q4,15.2578115037632,26.0151173999292,21.6232327534104,38.5252703688062,33.0494313609839,21.710777339143,7.75756194803944,14.2617420984756,18.9233805254543,10.1276204977529,8.50022452714474,7.45266537389581,40.0859814871703,2.87675122821272,13.1697458085172,34.1469660930844,12.7484275843527,11.7587212575547,15.7456126193445,19.7316671948628,3.99942453097683,0.00000875737962055682,0.00345646790400837,,20.8745339700521
1976:Q1,15.5813408198732,26.9206991660481,22.1396092835791,38.6055233456992,33.3462981202763,22.4737276836936,8.09872996252925,14.6156986213253,19.1785896685391,10.6468564920555,8.81369926703084,7.83804667587224,41.4522625168659,3.0730283316912,13.9812624541523,35.1188743321769,13.2697036669949,12.102982279089,16.2333673070851,20.0943698327493,3.96563840608083,0.00000907671576283196,0.00359981691352287,,21.3677173933311
1976:Q2,15.9980752884123,27.6989427629074,23.0529649231465,38.7242900130118,33.7170108427347,23.2109425825047,8.48036516449509,14.9645930012666,19.6397389638439,10.7603900812517,9.15625299996983,8.23131991716459,42.6114519265735,3.2675163933369,14.71518223078,36.0207135286632,13.7854511508595,12.4400295064312,16.7156433838505,20.2872351647833,3.98872060300568,0.00000942165965631668,0.00372598465470142,,21.775716603133763
1976:Q3,17.1728101547124,28.3501139419011,22.5946301082332,38.8815753464397,34.1613651051841,23.9221700284439,8.90199341925827,15.3132429303374,20.3205008165462,11.4091259368275,9.52762398343953,8.63238162355801,43.6360066265423,3.46007141617176,15.2465643271219,36.8458521157895,14.2849622452954,12.7708086205118,17.1834564340036,20.6574841143836,3.96757802978945,0.00000979423026791632,0.00388196358094196,,22.256183884972575
1976:Q4,17.4787478089427,28.8748880855531,23.5352026271392,39.0773350401275,34.6498606684788,24.607179681158,9.36312482798058,15.6521575369626,20.8795509461856,11.6773728250982,9.9275743284475,9.04112628839365,44.6250220492425,3.65082120226718,15.5000557719605,37.5953689810959,14.7794226782307,13.0985956362519,17.6589597541122,21.0227062420383,4.15037295194731,0.0000101966506782183,0.00411384184931305,,22.736957805623884
1977:Q1,17.7457461028686,28.9179808708737,23.8089710560452,39.330175288666,35.1829282551492,25.2095590274701,9.92217694154309,15.8702774831845,21.2558220634539,11.8748489336561,10.4192503466512,9.47904261002197,45.4405161339503,3.74273069514623,15.6190991186807,38.0927839329374,15.2690088590595,13.3180175234027,18.0910530455824,21.3566309356509,4.70698310968843,0.0000106369133854721,0.00445780916465601,,23.14324522394927
1977:Q2,18.0613787329695,29.3370391488655,24.640317219956,39.5951023245512,35.7033170992289,25.8639931370563,10.4368449395886,16.2497484325305,21.8684255825249,12.1635467021798,10.8502938853466,9.89372413900643,46.241257037981,3.9688039771521,15.7782136602243,38.7671395489659,15.7402812589682,13.6727630043046,18.5634248870327,21.8231348297279,4.56689648239344,0.0000111045588067258,0.00490849189826276,,23.643167536467633
1977:Q3,18.0931353802579,29.7759470114911,24.7796287045012,39.8905192088382,36.2119543865654,26.5141794012867,10.9668827672656,16.6795683494757,22.5390194277853,12.6115023440991,11.2842568564318,10.3063657690342,47.1089478447417,4.23045433898292,16.0354063115977,39.4317514499732,16.1925127137448,14.0593540857631,19.0573416355721,22.3498150763815,4.56207716043677,0.0000116075650225284,0.00545310827200471,,24.16099856924716
1977:Q4,18.7244164605482,30.2347340961617,25.4139331409419,40.2161224211207,36.6984900280669,27.1599830514329,11.5125355069206,17.1493176940006,23.2958991430709,13.3503742390784,11.7211564441817,10.7164996991193,48.1482806387095,4.5268697318985,16.3400998156522,40.0909367631366,16.6383651088541,14.4763322580588,19.5606224509911,22.9982360155674,4.62134668612991,0.0000121488509112926,0.00607848457131067,,24.804593627694405
1978:Q1,19.4703934712143,30.750800819257,26.6997266637147,40.5894211119333,37.163841889399,27.8171206186555,12.1698507216997,17.6726585231941,24.2017735807137,13.7362698057132,12.1475374566645,10.9918227600236,49.3128334437583,4.95352479617825,16.7358564596685,40.8050877470519,17.1773392883613,14.8581222940223,20.1594779558851,23.4569856470495,4.91872668206402,0.0000127806756519183,0.00677863509281051,,25.40584158902861
