column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,netherlands,norway,new_zealand,sweden,us,column_u,oecd_19
1975:Q1,38.608650078914,44.5657736355528,64.2715168780115,96.345842786788,107.096623702883,57.1753432600275,36.6248617760989,56.4214832543264,44.2294272978763,33.3722791423929,23.2305776151026,78.3038907250877,100.707497787871,97.4121180541856,46.1759046177042,56.8266229146564,58.0518983594661,78.7458693648673,55.3069518086477,,65.3292802705158
1975:Q2,38.0877874483735,45.585827709743,64.2004694528895,92.3382380050228,106.871086187674,57.7169436179638,36.7177056574861,55.6153750821979,44.7289898198323,32.2380306368595,23.2845686699236,75.5016543748349,99.2465529761702,96.5074794245312,43.7055299532587,56.0727068191993,54.9048935387821,79.359967345745,55.1180988371543,,64.7359203305961
1975:Q3,38.0501340507439,45.9101316210988,65.0105513477495,90.648685324037,107.417351653089,58.9350579867558,36.7098860866036,55.7116911521283,45.4025047292445,31.6708608178216,23.5355139018274,72.6025496003124,97.5625571892972,98.0920923106186,43.6104471539671,55.571937037591,53.9058790209291,80.0236142755526,54.628814044175,,64.3002306689286
1975:Q4,37.3006891327787,47.3645077943454,66.0210859455238,89.7846033837433,107.775325839523,57.709949908387,36.5837571047279,59.0140565716316,46.0638972800463,30.5759766255466,24.0907947607259,70.230091971842,95.6305439485514,99.3948499608231,45.026631686874,55.8930081082133,52.9844734803556,80.7080916751589,54.8217922275355,,64.1245089059807
1976:Q1,37.4232706396171,51.1397746605313,67.0038127135625,87.5585069121767,108.151415534614,58.2689010832099,36.4048011356394,54.3631750031844,46.4652424064133,30.4875795494474,24.2707195820859,67.2349870847286,93.6104504089323,101.69521622325,45.8178920616177,55.0350757083567,51.3356561017111,81.2193070562164,54.908350846551,,63.9195719867019
1976:Q2,37.772617917446,51.8328220480278,68.3578153125168,87.1162503897003,109.008028163422,57.3754048315889,36.2075556589373,53.0172350341594,47.4081890902019,30.4362141667414,23.7934585595876,64.1831308025407,91.6082910864769,104.00302779652,47.9378670739479,56.6346714746977,49.7828384611683,82.1805460218985,55.9075466548661,,64.2125082217944
1976:Q3,37.8310755207119,53.311925769757,67.8851740454667,83.9788589785621,109.701166340177,57.1980404473864,35.9658328661119,53.1880181405262,47.8867943968151,30.0758026419379,23.8389208867015,61.6488315707608,90.6380519665717,105.124515460847,51.9936414453779,56.6384708784624,48.9615851441264,83.2400266187215,56.4474100637694,,64.324930832839
1976:Q4,37.4789063470406,54.6966125687934,66.387517312407,87.2841051800089,110.927257833934,58.2783514764409,35.6384633165428,52.4289264879509,48.364557530809,29.004398674961,24.3977998229257,59.8235578224031,89.6997704730784,109.311100829835,54.9383023941356,57.329535336875,48.4077437472212,84.3480306664245,56.4927649846541,,64.3801971925029
1977:Q1,37.4314315482906,56.0319171920063,63.896355644148,85.1106306131294,111.974876682679,57.3523407555499,34.5874842707603,50.5796924785326,49.5492020041779,28.3871681793282,24.3114477409213,58.6929439647104,88.8212374465843,108.650648679168,60.7859725869391,57.4811139073213,47.537783006181,85.8175375579853,57.1068668469062,,64.5236498547392
1977:Q2,37.4016406302157,57.3979586936608,62.5349670479453,86.0063883909662,113.696575847256,59.3296658710942,34.5683275284771,50.1547803024565,49.7445472769621,27.7580510268163,24.0095535060644,58.1604610905337,88.4414151053303,111.945224676558,65.0928909316739,57.2360213374157,46.0825918346604,86.6931578707275,58.1199284953298,,65.1522226127908
1977:Q3,37.2397391245856,58.6604634364662,60.8786780893725,86.7757948016324,115.17520116869,60.3601070933192,34.7531033425451,48.7354613706625,50.1721147589774,27.7116481184756,24.5507062593699,57.5891598652769,88.297601086712,115.090063112309,67.5347630169639,57.2796034435908,44.9004892693033,87.2651090713549,58.9167255662645,,65.6968081758423
1977:Q4,37.0485323845011,62.0516410012827,65.4705319251803,86.2660667734203,116.962769146639,62.3277072371317,35.0480097503754,47.9109763377679,50.7893633943815,28.1250788951642,25.9215095286869,57.5758560898926,88.7619458579879,119.407061395052,68.6197185678696,57.0653981992778,43.3901722822017,87.4450573720593,60.5052731211624,,67.0033141857108
1978:Q1,37.2221963617272,61.5745665762621,65.353977474184,86.8658929027568,119.706739029675,63.6645653050771,35.9344028991283,47.792032024351,51.199797697598,28.3097251710548,27.0791618193851,57.8977799947949,88.6093791368358,114.905957799748,69.3736960292446,55.750163234829,42.5126948252706,87.1378484652639,61.3916606605861,,67.51260799965
1978:Q2,37.0969282253406,62.8984575955075,65.6388208543189,88.5776726502293,121.104993381863,64.6259590978083,36.3936693488743,47.8983212656938,51.3039075592727,29.0377691547711,29.7293116457146,58.2997725870369,88.7545068197706,118.693926949173,70.2398854071508,55.1216993294415,41.3978930898756,87.3179073245081,62.0339141632753,,68.2007072437992
1978:Q3,37.0742267899255,64.5349476716726,65.5863937273647,89.7841874389038,122.753225628581,65.0948330848971,36.7635211487131,47.0174284588958,51.4145034580509,30.1394770744097,30.8694108329525,58.6887416784024,88.9367598797789,122.128145242857,66.5953085831849,56.019662832501,41.0965764623121,87.7102940740478,63.0094629689827,,68.9627220755513
1978:Q4,36.6302771176019,65.1469450627709,64.730519711127,91.8681381308064,124.216711384431,64.1947304781693,37.0090369803721,46.9756166392987,51.6076929825251,31.3972044223988,29.6019524479325,59.0094935431271,90.2296093201376,131.407286141829,66.636200322932,55.1560468692419,40.5433164988517,88.3933846629555,63.7581289285798,,69.9685260842814
1979:Q1,36.6008257541947,66.2928635815148,64.7813348218026,91.7746269800003,125.068375776029,64.3956980383222,37.796020603583,46.4803303799862,51.5816894087532,32.5905856881682,30.0908893383165,55.7275874781558,91.6570757066849,136.387262216907,64.3978302899799,55.8459807355705,40.0853206662672,90.053333166158,65.3695791713016,,70.971862974049
1979:Q2,36.5253817527026,67.2842745813996,65.5421754858919,91.1934798994514,124.549738260686,65.3921407512033,37.827143951043,46.1765548732168,51.798196380706,34.0696928050833,33.8813779789296,56.3514912575439,92.8607904218106,138.181640960112,62.2177715497824,54.7836607460259,38.789987446708,90.2173833676125,65.2494001166845,,71.2412389551537
1979:Q3,38.280432149657,67.1949360791951,67.2308472939994,92.827406610999,124.064130011374,65.2708384942248,37.5179281014793,46.6267661496877,52.1603043413325,34.0317168099062,31.8172741110012,57.217797878844,94.2413857392716,144.159421659929,61.1106976860031,54.6623777140481,37.4642269313162,89.4648623434778,65.1528338607519,,71.6721967002702
1979:Q4,39.9364169818606,67.1465005166107,69.7578152999602,94.7785108946032,124.318025192895,63.5464850873797,36.9196834869802,47.0472931099597,53.0981752307974,34.9443144971787,31.6972045477948,57.9451370886835,95.4703405895248,145.848782395505,59.1441748441026,53.9549912383008,36.7298628828887,87.9208234793281,65.3321814557913,,72.1891971310926
1980:Q1,40.974510222367,67.3458604543942,71.329640703304,97.458448625538,121.38048736477501,60.999936869725,35.482705507885,47.1729339867756,54.8277112801819,35.4483238997365,31.1916555835043,58.0614224907203,96.4680509902936,140.448362838343,57.0936032302433,55.5626701043456,35.9509792378873,85.4085892588488,64.3427464644543,,71.5991468564905
1980:Q2,42.0795329677967,64.4835676993212,72.5154793614989,96.9647834379261,121.12425419959,57.2712798398857,34.9104356977636,47.8544120109978,55.3196986361415,35.3293512406575,29.5599410666083,60.4144763154101,97.4508802014549,141.362078654875,54.0733087271398,54.7777403750077,35.1879555348112,83.213482899838,63.485446244596,,71.4308404318652
1980:Q3,42.5635983033482,62.0735521690066,73.774926522746,97.5510779933246,121.863692961617,57.2791285949993,34.307842243656,48.428895557287,55.6457223203434,35.589431704011,29.3864350092442,61.5409420853466,99.1549867740105,139.907444426755,50.4665789291992,54.9815631056219,35.1827991680167,80.9379434140423,63.8375343480541,,71.8213808588697
1980:Q4,42.2518423974752,59.4459968568692,78.0642811049851,97.4712243879225,122.670041341183,55.6596262486147,33.7435874313803,47.8131429712217,55.6173259928665,34.7126364360328,30.6273118477604,64.0436203964142,100.996104123744,137.516605547068,50.3959055257892,55.4399051718589,35.3558354892242,78.5439097262254,62.8846058333428,,71.7940391200293
1981:Q1,44.3704615884582,57.3883377860605,83.2521572976567,99.3809591783337,124.559136540408,53.5344113092051,33.4689322158842,48.6166761569893,55.2484589733405,34.3598763984128,30.7569488581209,74.0191383088236,102.32803558997,144.180044285789,49.2498488864854,54.5138680409413,35.8717323231273,75.3939099858673,61.6243978473228,,72.4859508254297
1981:Q2,44.673969330092,56.2820530889248,87.4818133762341,102.669840627935,124.544388059196,49.6131334655996,33.0078340977123,48.5970007904748,54.7580725197452,34.161239095569,30.4954735784797,75.2236484127044,104.281646676001,143.539839878531,45.9165801854636,53.7353333883735,36.9757996048465,73.2566049519879,61.5210552386622,,72.7385538977439
